Plan_ID,Plan_Name,Provider_Company,URL,Product_Brochure_route,Plan_category,Coverage_Description,pricing,age, customer requirement, price structure, additional informations,Last_Updated
/content/hk-wise/en/products/life/prosperlife.html,ProsperLife Insurance Plan,AIA International Limited,https://www.aia.com.hk/en/products/life/prosperlife.html,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/prosperlife-insurance-plan/ProsperLifeInsurancePlan_en.pdf,whole life,Benefit Term: Whole life; Issue Age: 15 days to age 75; Premium Payment Period: 5 / 30 years; Policy Value *: Guaranteed Cash Value / Terminal Dividend; Change of Insured Option / Contingent Insured Option: No; Bonus Lock-in Option / Terminal Dividend Lock-in Option: No; Death Benefit Settlement Option: Yes,"US$4,962/year (illustrative, age 47 non-smoker, 5-year term, sum assured US$50,000; total premiums US$24,808)",15 days-75,policy owner must pay IA levy on each premium payment,5-year or 30-year premium term; payment mode annually/semi-annually/quarterly/monthly,"policy currency US$; minimum sum assured US$10,000","Tue, 24 Feb 2026 07:29:46 GMT"
/content/hk-wise/en/products/life/bonus-power-plan-2-enhanced-protection.html,Bonus Power Plan 2 (Enhanced Protection),AIA International Limited,https://www.aia.com.hk/en/products/life/bonus-power-plan-2-enhanced-protection.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/bonus-power-plan-2-ep/BonusPowerPlan2EnhancedProtection_en.pdf,whole life,,"US$50,000/year (illustrative, age 48 non-smoker, 5-year premium term, sum assured US$364,804)",18-65,policy owner must pay IA levy on each premium payment (Hong Kong policies),guaranteed level premium; premium payment term 5/12/18 years,participating plan with non-guaranteed Reversionary Bonus and Terminal Bonus; Total and Permanent Disability/Caring benefits with advance payments and premium waiver (max aggregate US$1.25 million),"Wed, 25 Feb 2026 11:19:18 GMT"
/content/hk-wise/en/products/life/serene-life-series.html,Serene Life / Serene Life (Annual Dividends),AIA International Limited,https://www.aia.com.hk/en/products/life/serene-life-series.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/serene-life-series/SereneLifeSeries_en.pdf,whole life,Benefit Term: Whole life; Issue Age: 15 days to age 75; Premium Payment Period: 5 / 10 / 25 years; Policy Value *: Guaranteed Cash Value / Annual Dividend (for Annual Dividend version only) / Terminal Dividend; Change of Insured Option / Contingent Insured Option: No; Bonus Lock-in Option / Terminal Dividend Lock-in Option: No; Death Benefit Settlement Option: Yes,"US$3,200/year (illustrative, age 30, non-smoker, 5-year pay); US$6,540/year (illustrative, age 40, non-smoker, 10-year pay)",15 days-75,,Recurring premium; pay term 5/10/25 years,TPD premium waiver before age 60; optional Payor Benefit Rider; optional accident/medical/critical illness/disability add-on plans,"Tue, 24 Feb 2026 07:36:47 GMT"
/content/hk-wise/en/products/life/admire-life-2.html,Admire Life 2,AIA International Limited,https://www.aia.com.hk/en/products/life/admire-life-2.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/admire-life-2/AdmireLife2_en.pdf,whole life,Benefit Term: Whole life; Issue Age: 15 days to age 75; Premium Payment Period: Single Premium / 5 / 10 / 18 / 25 years; Policy Value *: Guaranteed Cash Value / Annual Dividend / Terminal Dividend; Change of Insured Option / Contingent Insured Option: No; Bonus Lock-in Option / Terminal Dividend Lock-in Option: No; Death Benefit Settlement Option: No,"US$16,020/year (illustrative, age 35 non-smoker, sum assured US$500,000, 18-year pay)",15 days-75,IA levy required on each premium payment (Hong Kong policies),Guaranteed fixed premium; pay term one-time/5/10/18/25 years,Policy currency options US$/HK$ (MOP for Macau-issued policy); optional TPD premium waiver and Payor Benefit Rider/add-on protection plans,"Tue, 24 Feb 2026 07:38:02 GMT"
/content/hk-wise/en/products/life/easyguard-term-life-plan.html,EasyGuard Term Life Plan,AIA International Limited,https://www.aia.com.hk/en/products/life/easyguard-term-life-plan.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/easyguard-term-life/EasyGuardTermLife_en.pdf,term life,"Benefit Term: Up to age 85 of the insured; Issue Age: Age 16 to 70; Guaranteed Renewal: Yes, yearly renewable up to age 85 of the insured; Death Benefit: 100% Sum Assured + USD650 or HK$/MOP5,000; Conversion Privilege: On or before the anniversary of cover immediately following the insured's 70 th birthday; Super Lifestage Option: No; Terminal Illness Benefit: No","Annual premium rate (yearly renewable) per US$/HK$/MOP1,000 sum assured: 0.90-41.11 (issue ages 16-70, varies by sex/smoker); renewal ages 71-84 listed up to 181.17; premium discount -0.09 per 1,000 for sum assured ≥US$250,000/HK$/MOP1,875,000.",16-70,,"Per-1,000-sum-assured rate; first-year premium by attained age, sex and smoking status",Basic plan only; no savings element; currency options USD/HKD/MOP,"Wed, 25 Feb 2026 06:24:55 GMT"
/content/hk-wise/en/products/life/wisdom-term.html,Wisdom Term Life Plan,AIA International Limited,https://www.aia.com.hk/en/products/life/wisdom-term.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/wisdom-term-life-plan/WisdomTermLifePlan_en.pdf,term life,"Benefit Term: Up to age 85 of the insured; Issue Age: 15 days to age 70; Guaranteed Renewal: Yes, renewable at the end of each renewal period up to age 85 of the insured; Death Benefit: 100% Sum Assured; Conversion Privilege: On or before the anniversary of cover immediately following the insured's 70 th birthday; Super Lifestage Option: Yes; Terminal Illness Benefit: Yes; to basic plan only",10% premium discount in first year via AIA Vitality; minimum 10% annual discount thereafter,15 days-70,underwriting approval; premium payment required (31-day grace period),guaranteed level premium within each renewal period; renewable 1/5/20-year terms,basic plan or add-on plan; policy currency options: USD/HKD/MOP; insurance protection only (no savings element),"Tue, 24 Feb 2026 14:02:14 GMT"
/content/hk-wise/en/products/save/global-flexi.html,GlobalFlexi Savings Insurance Plan,AIA Hong Kong,https://www.aia.com.hk/en/products/save/global-flexi.html,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/globalflexi-savings-insurance-plan/GlobalFlexiSavingsInsurancePlan_en.pdf,whole life,,"Minimum: one-time US$7,500 (HK$56,250/MOP56,250) or 5-year annual US$2,000 (HK$15,000/MOP15,000); illustrative: US$500,000 one-time or US$40,200/year for 5 years",15 days-80,insurable interest; AML/customer due diligence compliance,single premium (one-time) or 5-year regular premium (annual/semi-annual/quarterly/monthly),9-currency support with currency exchange option; guaranteed cash value with non-guaranteed reversionary and terminal bonuses; flexible withdrawal/value safeguard/bonus lock-in options,2026-03-02
/content/hk-wise/en/products/save/global-power-3.html,Global Power Multi-Currency Plan 3,AIA Hong Kong,https://www.aia.com.hk/en/products/save/global-power-3.html,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/global-power-multi-currency-plan-3/GlobalPowerMultiCurrencyPlan3_en.pdf,whole life,,"Minimum premium varies by currency/term (e.g., US$7,500 one-time; US$2,000 annual for 3/5-year; US$1,400 annual for 10-year). Illustrative: HK$300,000/year for 5 years; US$250,000 single premium.",15 days-80,underwriting approval; no medical exam if premium is within aggregate limit per insured,one-time single premium or 3/5/10-year premiums; annual/semi-annual/quarterly/monthly modes for regular terms,participating plan; up to 9 policy currencies; currency exchange option from end of policy year 2,2026-03-02
/content/hk-wise/en/products/save/aia-deferred-annuity-plan-2.html,AIA Deferred Annuity Plan 2,AIA Hong Kong,https://www.aia.com.hk/en/products/save/aia-deferred-annuity-plan-2.html,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/deferred-annuity-plan-2/AIADeferredAnnuityPlan2_en.pdf,deferred annuity,,"Minimum annual premium US$4,800; illustrative annual premiums US$7,500-US$12,000 (5-year premium term)",18-70,Tax deduction requires annuitant to be policy owner/spouse with taxable income; no medical exam if annual premium is within insurer aggregate limit,5-year fixed premium term; payment mode annual/semi-annual/monthly,"QDAP tax deduction up to HK$60,000 per taxpayer per year; annuity start age options 50/55/60/65/70/75 with 10-year annuity period; monthly annuity can be paid out or accumulated",2025-02-06T16:00:00.000+00:00
/content/hk-wise/en/products/save/prosperlife.html,ProsperLife Insurance Plan,AIA Hong Kong,https://www.aia.com.hk/en/products/save/prosperlife.html,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/prosperlife-insurance-plan/ProsperLifeInsurancePlan_en.pdf,whole life,,"US$4,962/year (illustrative, age 47, non-smoker, US$50,000 sum assured, 5-year premium term); total premiums US$24,808",15 days-75,"minimum sum assured US$10,000",US$ policy currency; premium payment term 5-year or 30-year,"participating plan with guaranteed cash value and non-guaranteed terminal dividend (from year 3); PRMP-eligible life insurance plan; optional accidental death rider pays 200% sum assured (max US$1,000,000)",2026-03-02
/content/hk-wise/en/products/save/admire-life-2.html,Admire Life 2,AIA Hong Kong,https://www.aia.com.hk/en/products/save/admire-life-2.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/admire-life-2/AdmireLife2_en.pdf,whole life,,"US$16,020/year (illustrative, age 35, non-smoker, US$500,000 sum assured, 18-year premium term)",15 days-75,IA levy required on each premium payment (Hong Kong policies),guaranteed fixed premium; premium term one-time/5/10/18/25 years,participating plan with guaranteed cash value plus non-guaranteed annual and terminal dividends; optional premium waiver for total and permanent disability before age 60 (non-single-premium policies),2026-03-02
/content/hk-wise/en/products/save/forever-love-coupon-plan-5.html,Forever Love Coupon Plan 5,AIA Hong Kong,https://www.aia.com.hk/en/products/save/forever-love-coupon-plan-5.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/forever-love-coupon-plan-5/ForeverLoveCouponPlan5_en.pdf,whole life,,"US$16,557/year (illustrative; insured age 0; principal amount US$100,000; 6-year premium term)",15 days-65,No medical exam if total annual premiums are within the insurer aggregate limit per insured,Guaranteed fixed premium; premium term 6/10/15/20 years,Participating plan; annual dividend from end of policy year 10 and terminal dividend from policy year 10; guaranteed cash payments 2.1% of principal yearly to age 100 plus extra 0.4% yearly to policy year 20,2022-07-07T16:00:00.000+00:00
/content/hk-wise/en/products/save/serene-life-series.html,Serene Life / Serene Life (Annual Dividends),AIA Hong Kong,https://www.aia.com.hk/en/products/save/serene-life-series.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/serene-life-series/SereneLifeSeries_en.pdf,whole life,,"Illustrative annual premiums: US$3,200 (age 30, 5-year pay), US$2,477 (age 38, 25-year pay), US$6,540 (age 40, 10-year pay)",15 days-75,"minimum sum assured US$10,000",5/10/25-year premium payment term; annual/semi-annual/quarterly/monthly payment mode,Participating plan; Terminal Dividend (Serene Life: after 3 policy years; Annual Dividends version: after 10 policy years),2026-03-02
/content/hk-wise/en/products/save/simply-love-encore-5.html,Simply Love Encore 5,AIA Hong Kong,https://www.aia.com.hk/en/products/save/simply-love-encore-5.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/simply-love-encore-5/SimplyLoveEncore5_en.pdf,whole life,,"Minimum: US$5,000 one-time; US$1,500/year (5-year) or US$1,000/year (10-year). Illustrative: US$20,000/year for 5 years; US$125,000 one-time.",15 days-80,underwriting approval; no medical exam if total premium is within aggregate limit,"premium term: one-time, 5-year, or 10-year; payment mode: single, annual, semi-annual, quarterly, monthly",change of insured option; contingent insured option; unemployment benefit (5/10-year),2026-03-02
/content/hk-wise/en/products/save/bonus-power-plan-2-enhanced-protection.html,Bonus Power Plan 2 (Enhanced Protection),AIA Hong Kong,https://www.aia.com.hk/en/products/save/bonus-power-plan-2-enhanced-protection.html,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/bonus-power-plan-2-ep/BonusPowerPlan2EnhancedProtection_en.pdf,whole life,,"US$50,000/year (illustrative, age 48 non-smoker, 5-year premium term)",18-65,pay premiums on time per selected schedule,US dollar policy; 5/12/18-year premium term,"participating plan with non-guaranteed reversionary and terminal bonuses (from end of 3rd policy year); policy loan up to 90% of guaranteed cash value plus reversionary bonus cash value; death benefit instalment option when death benefit is at least US$50,000",2022-05-07T16:00:00.000+00:00
